pin,bank,site,tile,pin_function
F23,17,IOB_X0Y335,LIOB33_X0Y335,IO_L7N_T1_17
H20,17,IOB_X0Y334,LIOB33_X0Y333,IO_L8P_T1_17
G20,17,IOB_X0Y333,LIOB33_X0Y333,IO_L8N_T1_17
H19,17,IOB_X0Y332,LIOB33_X0Y331,IO_L9P_T1_DQS_17
G19,17,IOB_X0Y331,LIOB33_X0Y331,IO_L9N_T1_DQS_17
G18,17,IOB_X0Y330,LIOB33_X0Y329,IO_L10P_T1_17
F18,17,IOB_X0Y329,LIOB33_X0Y329,IO_L10N_T1_17
G22,17,IOB_X0Y328,LIOB33_X0Y327,IO_L11P_T1_SRCC_17
F22,17,IOB_X0Y327,LIOB33_X0Y327,IO_L11N_T1_SRCC_17
F20,17,IOB_X0Y326,LIOB33_X0Y325,IO_L12P_T1_MRCC_17
F21,17,IOB_X0Y325,LIOB33_X0Y325,IO_L12N_T1_MRCC_17
E20,17,IOB_X0Y324,LIOB33_X0Y323,IO_L13P_T2_MRCC_17
E21,17,IOB_X0Y323,LIOB33_X0Y323,IO_L13N_T2_MRCC_17
D21,17,IOB_X0Y322,LIOB33_X0Y321,IO_L14P_T2_SRCC_17
D22,17,IOB_X0Y321,LIOB33_X0Y321,IO_L14N_T2_SRCC_17
E23,17,IOB_X0Y320,LIOB33_X0Y319,IO_L15P_T2_DQS_17
D23,17,IOB_X0Y319,LIOB33_X0Y319,IO_L15N_T2_DQS_17
C21,17,IOB_X0Y318,LIOB33_X0Y317,IO_L16P_T2_17
C22,17,IOB_X0Y317,LIOB33_X0Y317,IO_L16N_T2_17
E18,17,IOB_X0Y316,LIOB33_X0Y315,IO_L17P_T2_17
E19,17,IOB_X0Y315,LIOB33_X0Y315,IO_L17N_T2_17
D18,17,IOB_X0Y314,LIOB33_X0Y313,IO_L18P_T2_17
D19,17,IOB_X0Y313,LIOB33_X0Y313,IO_L18N_T2_17
